unix,ds,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount,Value
1.5933E+12,2020-06-28,LINK/USDT,4.406,4.615,4.334,4.568,10969156.02,49399599.71,157146,4.4745
1.59339E+12,2020-06-29,LINK/USDT,4.568,4.649,4.423,4.618,10291801.62,46686880.18,155260,4.536
1.59348E+12,2020-06-30,LINK/USDT,4.619,4.664,4.539,4.564,7283213.44,33516243.05,118399,4.6015
1.59356E+12,2020-07-01,LINK/USDT,4.564,4.73,4.52,4.705,8757356.59,40570131.07,116530,4.625
1.59365E+12,2020-07-02,LINK/USDT,4.706,4.92,4.596,4.796,17978082.76,85676377.06,226851,4.758
1.59373E+12,2020-07-03,LINK/USDT,4.796,4.895,4.702,4.731,9450202.22,45614979.5,141246,4.7985
1.59382E+12,2020-07-04,LINK/USDT,4.73,4.858,4.72,4.817,5472867.27,26193892.27,90798,4.789
1.59391E+12,2020-07-05,LINK/USDT,4.817,4.836,4.622,4.749,7702041.57,36330261.03,112052,4.729
1.59399E+12,2020-07-06,LINK/USDT,4.748,5.517,4.737,5.367,25673370.36,131942557.6,335556,5.127
1.59408E+12,2020-07-07,LINK/USDT,5.367,5.898,5.336,5.734,39442255.08,222496135.8,470851,5.617
1.59417E+12,2020-07-08,LINK/USDT,5.734,6.61,5.6,6.502,44434386.17,273523649.7,596517,6.105
1.59425E+12,2020-07-09,LINK/USDT,6.502,6.505,5.679,6.09,34032722.75,207087520.4,496750,6.092
1.59434E+12,2020-07-10,LINK/USDT,6.09,6.21,5.7,6.151,24825833.65,148034529.3,386214,5.955
1.59443E+12,2020-07-11,LINK/USDT,6.149,6.276,5.962,6.109,13419694.03,82202792.95,208895,6.119
1.59451E+12,2020-07-12,LINK/USDT,6.109,7.39,6.105,7.328,56742858.96,382619155.2,677823,6.7475
1.5946E+12,2020-07-13,LINK/USDT,7.326,8.58,6.859,7.157,83840725.3,642910990,1098355,7.7195
1.59468E+12,2020-07-14,LINK/USDT,7.157,8.359,6.95,8.113,66580036.61,512333284.1,915200,7.6545
1.59477E+12,2020-07-15,LINK/USDT,8.113,8.979,7.818,8.64,65989670.25,553663283.7,1013807,8.3985
1.59486E+12,2020-07-16,LINK/USDT,8.64,8.887,7.911,8.341,62870582.6,526055618.2,973742,8.399
1.59494E+12,2020-07-17,LINK/USDT,8.344,8.63,8.188,8.264,27425086.67,229684419.8,534694,8.409
1.59503E+12,2020-07-18,LINK/USDT,8.263,8.264,7.643,7.968,29718954.99,236823836,518638,7.9535
1.59512E+12,2020-07-19,LINK/USDT,7.968,8.197,7.777,8.082,19949522.19,158465402.8,402428,7.987
1.5952E+12,2020-07-20,LINK/USDT,8.085,8.143,7.116,7.241,35642424.67,271929444,656660,7.6295
1.59529E+12,2020-07-21,LINK/USDT,7.238,7.676,6.9,7.306,36127431.48,264855175.7,673021,7.288
1.59538E+12,2020-07-22,LINK/USDT,7.309,7.62,7.084,7.479,31441097.61,231945341.2,564758,7.352
