unix,ds,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount,Value
1.6206E+12,2021-05-10,NEO/USDT,119.599,122,96.146,104.943,1637967.497,182628937,283200,109.073
1.62069E+12,2021-05-11,NEO/USDT,104.76,116.665,100.186,115.724,1439359.15,155215706.4,220821,108.4255
1.62078E+12,2021-05-12,NEO/USDT,115.695,116.5,92,94.286,1633828.369,175895452,240319,104.25
1.62086E+12,2021-05-13,NEO/USDT,94.037,102.138,88.23,96.686,1718237.34,164151144,231275,95.184
1.62095E+12,2021-05-14,NEO/USDT,96.559,103.694,94.984,100.862,897730.798,89334882.3,135872,99.339
1.62104E+12,2021-05-15,NEO/USDT,100.782,102,91.153,92.735,925963.323,89003170.64,136012,96.5765
1.62112E+12,2021-05-16,NEO/USDT,92.612,101.375,86.508,92.911,1211720.548,113906991.3,163887,93.9415
1.62121E+12,2021-05-17,NEO/USDT,92.9,92.958,79.777,85.634,1686361.261,144597552.3,193999,86.3675
1.6213E+12,2021-05-18,NEO/USDT,85.644,92.237,84.216,87.421,927305.7,81724750.22,122742,88.2265
1.62138E+12,2021-05-19,NEO/USDT,87.458,89.168,40,55.124,4061913.64,257060860.3,384601,64.584
1.62147E+12,2021-05-20,NEO/USDT,55.155,72.52,49.136,71.705,2288224.687,142868507.3,224920,60.828
1.62156E+12,2021-05-21,NEO/USDT,71.57,73.3,50.03,57.851,2462209.318,149688365.6,219865,61.665
1.62164E+12,2021-05-22,NEO/USDT,57.918,58.352,49.166,51.385,1670948.605,88858247.29,125118,53.759
1.62173E+12,2021-05-23,NEO/USDT,51.394,56.95,35.462,43.103,3326567.921,143179729.9,224971,46.206
1.62181E+12,2021-05-24,NEO/USDT,43.125,54.47,41.336,54.04,2166900.476,105153607,172076,47.903
1.6219E+12,2021-05-25,NEO/USDT,54.046,59.617,50.938,56.599,2234507.273,123218191.7,192864,55.2775
1.62199E+12,2021-05-26,NEO/USDT,56.522,63.5,55.033,62.5,1280535.606,77028084.69,120211,59.2665
1.62207E+12,2021-05-27,NEO/USDT,62.496,66.682,56.697,62.947,1561098.761,96880587.04,149703,61.6895
1.62216E+12,2021-05-28,NEO/USDT,62.924,63.2,52.296,54.421,1357195.081,76719169.72,110309,57.748
1.62225E+12,2021-05-29,NEO/USDT,54.411,56.887,47.983,50.092,865195.365,45113777.83,75417,52.435
1.62233E+12,2021-05-30,NEO/USDT,50.156,53.577,46.831,51.579,735255.533,37669353.76,59860,50.204
1.62242E+12,2021-05-31,NEO/USDT,51.514,56,49.33,55.865,678376.733,35984802.47,64454,52.665
1.62251E+12,2021-06-01,NEO/USDT,55.868,56.799,52.2,53.951,648192.688,35113529.15,61293,54.4995
1.62259E+12,2021-06-02,NEO/USDT,53.959,60.354,52.501,57.8,971493.575,55486963.99,101945,56.4275
1.62268E+12,2021-06-03,NEO/USDT,57.757,62.7,57.477,61.321,1335133.857,81568147.66,129182,60.0885
1.62276E+12,2021-06-04,NEO/USDT,61.332,62.573,53.131,56.25,1009496.423,57218154.85,92003,57.852
1.62285E+12,2021-06-05,NEO/USDT,56.242,60.677,53.924,55.635,791473.313,45259832.5,75975,57.3005
1.62294E+12,2021-06-06,NEO/USDT,55.563,57.886,55.047,56.7,505841.877,28545502,43670,56.4665
1.62302E+12,2021-06-07,NEO/USDT,56.694,58.369,50.58,51.08,643273.363,35712886.38,61598,54.4745
1.62311E+12,2021-06-08,NEO/USDT,51.112,51.995,44.643,48.735,1075127.499,51598071.78,98272,48.319
1.6232E+12,2021-06-09,NEO/USDT,48.732,51.329,45.922,51.297,743161.406,36455794.06,62654,48.6255
1.62328E+12,2021-06-10,NEO/USDT,51.326,54.99,49.609,50.561,1021835.872,53543529.18,88283,52.2995
1.62337E+12,2021-06-11,NEO/USDT,50.547,51,46.595,47.443,565691.366,27959130.02,50966,48.7975
1.62346E+12,2021-06-12,NEO/USDT,47.43,47.444,43.923,46.25,534805.637,24551263.23,54070,45.6835
1.62354E+12,2021-06-13,NEO/USDT,46.248,49.555,44.571,49.201,459539.887,21409019.89,51119,47.063
1.62363E+12,2021-06-14,NEO/USDT,49.187,51.744,48.355,50.735,664071.27,33296794.48,73302,50.0495
1.62372E+12,2021-06-15,NEO/USDT,50.752,52,49.122,50.139,551787.675,27851705.99,56542,50.561
1.6238E+12,2021-06-16,NEO/USDT,50.166,51.25,47.533,48.639,562499.898,27605688.33,56779,49.3915
1.62389E+12,2021-06-17,NEO/USDT,48.652,50.678,47.692,48.623,408062.045,20141314.15,42793,49.185
1.62397E+12,2021-06-18,NEO/USDT,48.668,48.668,44.063,45.422,468756.711,21696925.2,44354,46.3655
1.62406E+12,2021-06-19,NEO/USDT,45.447,46.552,44.31,44.445,273147.11,12414349.73,27562,45.431
1.62415E+12,2021-06-20,NEO/USDT,44.455,45.326,40.761,44.679,584767.768,25147852.05,54692,43.0435
1.62423E+12,2021-06-21,NEO/USDT,44.701,44.949,31.85,32.046,1866102.054,68954253.98,124675,38.3995
1.62432E+12,2021-06-22,NEO/USDT,32.047,34.418,25.908,30.115,3224149.73,96391914.94,180396,30.163
1.62441E+12,2021-06-23,NEO/USDT,30.127,35.062,28.614,33.453,1534060.699,50260764.06,96948,31.838
1.62449E+12,2021-06-24,NEO/USDT,33.472,35.5,31.542,34.978,735845.237,24971510.23,52982,33.521
1.62458E+12,2021-06-25,NEO/USDT,35.027,35.95,30.653,31.229,995422.639,32786905,67703,33.3015
1.62467E+12,2021-06-26,NEO/USDT,31.219,32.651,29.319,31.167,960066.354,29456309.14,58836,30.985
1.62475E+12,2021-06-27,NEO/USDT,31.17,32.403,29.571,31.961,1204091.302,36952888.63,81575,30.987
