unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.60436E+12,2020-11-03,BNB/USDT,27.7984,27.7984,25.7499,26.8638,2591560.855,69103680.17,173479,26.77415
1.60445E+12,2020-11-04,BNB/USDT,26.8722,26.97,25.9,26.96,2039985.34,54040159.97,150959,26.435
1.60453E+12,2020-11-05,BNB/USDT,26.9607,27.8947,26.6601,27.6875,2396900.822,65625192.28,172414,27.2774
1.60462E+12,2020-11-06,BNB/USDT,27.686,29.4692,27.6668,29.0435,2741813.969,78788712.44,215395,28.568
1.60471E+12,2020-11-07,BNB/USDT,29.0391,29.899,26.85,27.7651,3091788.824,88745055.81,259798,28.3745
1.60479E+12,2020-11-08,BNB/USDT,27.7628,28.6943,27.449,28.4101,2298549.455,64871413.83,142614,28.07165
1.60488E+12,2020-11-09,BNB/USDT,28.4101,28.9691,27.3461,28.0941,2148267.466,60645138.32,186163,28.1576
1.60497E+12,2020-11-10,BNB/USDT,28.0836,28.488,27.6114,28.2188,2172598.769,61108713.32,155588,28.0497
1.60505E+12,2020-11-11,BNB/USDT,28.2183,28.5999,27.7966,28.016,1974074.31,55629780.26,135668,28.19825
1.60514E+12,2020-11-12,BNB/USDT,28.0057,28.1599,27.3028,27.6874,1661489.286,46197453.39,123738,27.73135
1.60523E+12,2020-11-13,BNB/USDT,27.7019,28.5198,27.5284,28.1974,1934234.556,54174977.56,172193,28.0241
1.60531E+12,2020-11-14,BNB/USDT,28.1974,28.1974,27.3684,27.9311,1503467.499,41716295,132361,27.7829
1.6054E+12,2020-11-15,BNB/USDT,27.9359,28.2332,27.07,27.6786,1442022.548,40116215.61,146356,27.6516
1.60548E+12,2020-11-16,BNB/USDT,27.6822,28.2202,27.4461,27.9451,1685368.835,46962028.75,172529,27.83315
1.60557E+12,2020-11-17,BNB/USDT,27.9588,28.8,27.9262,28.5552,2243647.205,63861426.39,207380,28.3631
1.60566E+12,2020-11-18,BNB/USDT,28.5552,28.838,27.5,28.0931,2220839.931,62538448.47,247361,28.169
1.60574E+12,2020-11-19,BNB/USDT,28.1049,28.3666,27.6183,28.1387,2011350.337,56444452.23,162787,27.99245
1.60583E+12,2020-11-20,BNB/USDT,28.1266,29.3516,28.0598,28.9715,2491336.079,71408453.46,213320,28.7057
1.60592E+12,2020-11-21,BNB/USDT,28.9722,30.8,28.2955,30.5161,3160335.472,93653968.66,297019,29.54775
1.606E+12,2020-11-22,BNB/USDT,30.5168,31.12,29,30.0226,2842370.783,85423529.8,299851,30.06
