unix,ds,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount,Value
1.56203E+12,2019-07-02,ZEC/USDT,104.17,104.44,96.05,101.54,20067.19158,2004333.06,7647,100.245
1.56211E+12,2019-07-03,ZEC/USDT,101.71,106.15,101.25,105.82,11714.02387,1216097.911,6122,103.7
1.5622E+12,2019-07-04,ZEC/USDT,105.59,106,100.04,100.87,12055.56225,1240140.932,4942,103.02
1.56228E+12,2019-07-05,ZEC/USDT,100.8,103.37,98.5,99.99,10188.5831,1023490.133,4751,100.935
1.56237E+12,2019-07-06,ZEC/USDT,100.18,106.12,100.03,103.76,10662.15924,1095217.147,5035,103.075
1.56246E+12,2019-07-07,ZEC/USDT,103.7,106.49,102.31,106.45,7961.36546,826565.4889,3919,104.4
1.56254E+12,2019-07-08,ZEC/USDT,106.21,106.98,103.88,105.03,10284.34757,1082966.256,4115,105.43
1.56263E+12,2019-07-09,ZEC/USDT,105,106.52,98.5,100.73,16984.01061,1737896.523,6002,102.51
1.56272E+12,2019-07-10,ZEC/USDT,100.74,104.99,94.36,97.02,28281.8063,2818701.685,9246,99.675
1.5628E+12,2019-07-11,ZEC/USDT,97.04,97.04,86.5,88.12,17374.17957,1566660.084,7035,91.77
1.56289E+12,2019-07-12,ZEC/USDT,88.07,93.07,85.73,93.04,13135.23425,1176924.492,5121,89.4
1.56298E+12,2019-07-13,ZEC/USDT,93.06,93.57,86.43,89.84,11668.1649,1042467.3,6698,90
1.56306E+12,2019-07-14,ZEC/USDT,89.8,90.05,79.54,82.29,25977.71761,2181933.606,14681,84.795
1.56315E+12,2019-07-15,ZEC/USDT,82.29,82.45,75.83,80.37,29569.14645,2329046.896,14827,79.14
1.56324E+12,2019-07-16,ZEC/USDT,80.32,82.13,63.76,67.05,33712.63262,2404379.187,13015,72.945
1.56332E+12,2019-07-17,ZEC/USDT,67.04,76.83,65.44,73.79,24303.83064,1712894.276,10817,71.135
1.56341E+12,2019-07-18,ZEC/USDT,74.05,80.64,72.44,79.04,19915.63287,1527808.067,7156,76.54
1.56349E+12,2019-07-19,ZEC/USDT,79.02,79.77,71.35,75.55,31518.94931,2364939.629,17922,75.56
1.56358E+12,2019-07-20,ZEC/USDT,75.55,79.78,74.4,77.71,16920.73158,1303028.826,10413,77.09
1.56367E+12,2019-07-21,ZEC/USDT,77.67,78,73.44,75.37,7560.91007,570942.6809,3281,75.72
1.56375E+12,2019-07-22,ZEC/USDT,75.54,76.51,71.11,72.99,8120.56666,599202.3022,3501,73.81
1.56384E+12,2019-07-23,ZEC/USDT,72.94,73.39,69.23,70.59,9182.25588,652958.7486,3806,71.31
1.56393E+12,2019-07-24,ZEC/USDT,70.52,71.59,67.9,70.99,9414.60384,657348.561,3473,69.745
1.56401E+12,2019-07-25,ZEC/USDT,70.78,72.6,69.6,69.94,7782.72942,554565.2124,3009,71.1
1.5641E+12,2019-07-26,ZEC/USDT,69.95,72.13,69.22,71.32,7402.91278,526899.7354,2575,70.675
1.56419E+12,2019-07-27,ZEC/USDT,71.26,73.29,68.23,69.12,10211.05487,713510.555,2949,70.76
1.56427E+12,2019-07-28,ZEC/USDT,69.03,69.88,65.47,68.72,4944.87758,338244.8976,1973,67.675
1.56436E+12,2019-07-29,ZEC/USDT,68.78,69.79,66.38,67.38,6682.49063,457193.4566,2390,68.085
1.56444E+12,2019-07-30,ZEC/USDT,67.32,67.61,65.5,66.67,6951.76253,463146.887,2092,66.555
1.56453E+12,2019-07-31,ZEC/USDT,66.54,68.76,66.28,68.12,11090.37855,746734.8407,2949,67.52
1.56462E+12,2019-08-01,ZEC/USDT,68.14,68.4,66.27,67.61,8783.84126,588483.736,2593,67.335
1.5647E+12,2019-08-02,ZEC/USDT,67.61,68.48,65.38,66.41,10856.64577,727807.4021,2836,66.93
1.56479E+12,2019-08-03,ZEC/USDT,66.57,67.39,64.58,65.15,18820.25545,1232259.303,5859,65.985
1.56488E+12,2019-08-04,ZEC/USDT,65.14,66.76,63.15,65.73,11297.92008,729863.3752,3277,64.955
1.56496E+12,2019-08-05,ZEC/USDT,65.73,67.99,65.73,66.71,18428.04015,1233426.725,5350,66.86
1.56505E+12,2019-08-06,ZEC/USDT,66.77,67.33,61.13,62.47,15375.57602,998408.3516,5302,64.23
1.56514E+12,2019-08-07,ZEC/USDT,62.48,63.61,60.57,62.18,12382.5132,769888.2691,4058,62.09
1.56522E+12,2019-08-08,ZEC/USDT,62.31,67.16,60.67,62.38,32286.08954,2053657.425,8520,63.915
1.56531E+12,2019-08-09,ZEC/USDT,62.61,62.61,57.93,58.77,13893.57329,832569.885,3792,60.27
1.5654E+12,2019-08-10,ZEC/USDT,58.77,59.28,55.73,56.71,11836.54089,678184.0983,3492,57.505
1.56548E+12,2019-08-11,ZEC/USDT,56.7,60.57,56.68,59.91,11059.12908,649716.663,3743,58.625
1.56557E+12,2019-08-12,ZEC/USDT,60.01,60.08,56.73,56.85,9349.54748,540529.3123,2981,58.405
1.56565E+12,2019-08-13,ZEC/USDT,56.85,57.13,54.93,55.45,10870.87645,608758.2603,3501,56.03
1.56574E+12,2019-08-14,ZEC/USDT,55.51,57.17,50.3,50.56,20502.62299,1120667.212,5993,53.735
1.56583E+12,2019-08-15,ZEC/USDT,50.63,51.54,49.4,50.57,11658.85269,587032.6158,2857,50.47
1.56591E+12,2019-08-16,ZEC/USDT,50.57,51.15,48.3,48.88,9923.32973,490725.8547,2802,49.725
1.566E+12,2019-08-17,ZEC/USDT,48.85,50.25,47.52,50.01,8245.92255,402431.8522,2174,48.885
1.56609E+12,2019-08-18,ZEC/USDT,50.03,53.45,50.03,52.62,8869.36723,460256.1306,2671,51.74
1.56617E+12,2019-08-19,ZEC/USDT,52.68,54.48,51.67,54.3,8255.24315,439809.9628,2478,53.075
1.56626E+12,2019-08-20,ZEC/USDT,54.28,54.28,51.38,51.99,4953.55801,259906.3839,1456,52.83
1.56635E+12,2019-08-21,ZEC/USDT,51.93,52.05,48.32,49.79,8702.62653,432906.9804,2379,50.185
1.56643E+12,2019-08-22,ZEC/USDT,50.01,51.29,48.16,50.77,7890.4187,395902.6798,2299,49.725
1.56652E+12,2019-08-23,ZEC/USDT,50.61,51.5,50,50.85,7166.17322,363350.6457,2007,50.75
1.5666E+12,2019-08-24,ZEC/USDT,51,51.4,48.98,50.1,4715.91865,234999.4806,1441,50.19
1.56669E+12,2019-08-25,ZEC/USDT,50.24,51.23,49.5,50.15,7167.52976,360075.621,1510,50.365
1.56678E+12,2019-08-26,ZEC/USDT,50.26,53.59,50.26,51.47,12350.57536,639725.4603,3722,51.925
1.56686E+12,2019-08-27,ZEC/USDT,51.56,51.6,50.06,50.5,6345.38425,320504.0323,1438,50.83
1.56695E+12,2019-08-28,ZEC/USDT,50.43,50.49,45.71,46.42,6841.65045,328057.3648,2145,48.1
1.56704E+12,2019-08-29,ZEC/USDT,46.45,46.57,43.77,44.98,11929.53193,539186.4819,2215,45.17
1.56712E+12,2019-08-30,ZEC/USDT,44.97,45.34,43.73,44.54,5860.17271,260494.2049,1617,44.535
1.56721E+12,2019-08-31,ZEC/USDT,44.51,45.11,43.94,44.6,3172.20716,141193.6762,996,44.525
1.5673E+12,2019-09-01,ZEC/USDT,44.66,45.62,44.33,45.21,3540.93311,159316.3807,949,44.975
1.56738E+12,2019-09-02,ZEC/USDT,45.23,47.55,44.71,46.82,7076.35045,326240.4437,1709,46.13
1.56747E+12,2019-09-03,ZEC/USDT,46.82,46.95,45.08,45.7,13634.99818,628257.6616,2901,46.015
1.56756E+12,2019-09-04,ZEC/USDT,45.49,46.07,44.49,44.83,6748.89295,304507.4185,2004,45.28
1.56764E+12,2019-09-05,ZEC/USDT,44.83,45.33,44.6,44.98,5720.53375,256808.8911,1426,44.965
1.56773E+12,2019-09-06,ZEC/USDT,44.9,47.02,44.21,45.86,13564.6797,618127.1576,3186,45.615
1.56781E+12,2019-09-07,ZEC/USDT,45.89,47.25,45.08,46.98,8770.14977,404852.9094,2005,46.165
1.5679E+12,2019-09-08,ZEC/USDT,47,48.66,47,48.28,9104.86341,435532.2394,2158,47.83
1.56799E+12,2019-09-09,ZEC/USDT,48.28,48.31,45.36,47.1,13557.15287,634438.6942,2774,46.835
1.56807E+12,2019-09-10,ZEC/USDT,46.98,47.43,44.53,44.93,7219.79532,331457.2135,1936,45.98
1.56816E+12,2019-09-11,ZEC/USDT,44.93,45.68,44.06,44.32,5449.78035,243356.3791,1626,44.87
1.56825E+12,2019-09-12,ZEC/USDT,44.39,44.82,43.48,44.6,5230.21905,231470.2681,1312,44.15
1.56833E+12,2019-09-13,ZEC/USDT,44.52,44.73,43.65,44.65,10178.23588,448914.9794,1709,44.19
1.56842E+12,2019-09-14,ZEC/USDT,44.63,46.84,44.34,46.19,6776.29153,308091.1799,1757,45.59
1.56851E+12,2019-09-15,ZEC/USDT,46.25,47.61,45.64,46.63,8409.9252,392110.6876,1890,46.625
1.56859E+12,2019-09-16,ZEC/USDT,46.63,49.93,46.61,48.62,12755.0571,617584.0684,2813,48.27
1.56868E+12,2019-09-17,ZEC/USDT,48.65,51.35,47.47,50.64,13307.3546,658530.562,3538,49.41
1.56876E+12,2019-09-18,ZEC/USDT,50.75,53.36,50.14,52.74,16442.39035,852814.2265,4399,51.75
1.56885E+12,2019-09-19,ZEC/USDT,52.73,52.77,48.27,51.14,23662.54214,1175313.373,5515,50.52
1.56894E+12,2019-09-20,ZEC/USDT,51.19,51.33,47.76,48.87,14469.87389,710661.914,3274,49.545
1.56902E+12,2019-09-21,ZEC/USDT,48.86,49.29,47.53,47.7,6270.98812,302854.0031,1679,48.41
