unix,ds,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount,Value
1.59676E+12,2020-08-07,ETC/USDT,7.0998,7.2839,6.58,6.8756,2379123.03,16711329.01,48298,6.93195
1.59684E+12,2020-08-08,ETC/USDT,6.8771,6.9859,6.768,6.9377,1155945.08,7942997.473,22256,6.87695
1.59693E+12,2020-08-09,ETC/USDT,6.9355,7.191,6.6787,6.8798,1729470.04,11986523.4,33847,6.93485
1.59702E+12,2020-08-10,ETC/USDT,6.8793,7.1194,6.7073,7.0649,1553180.44,10788382.48,31812,6.91335
1.5971E+12,2020-08-11,ETC/USDT,7.0649,7.18,6.4471,6.743,1849995.57,12716943.14,37004,6.81355
1.59719E+12,2020-08-12,ETC/USDT,6.7436,6.7963,6.4823,6.7535,956069.74,6397430.887,22686,6.6393
1.59728E+12,2020-08-13,ETC/USDT,6.7557,6.95,6.558,6.9236,1389768.43,9396974.152,33721,6.754
1.59736E+12,2020-08-14,ETC/USDT,6.9236,6.9714,6.7878,6.8833,1341892.91,9228294.262,27805,6.8796
1.59745E+12,2020-08-15,ETC/USDT,6.8825,7.2955,6.8555,7.1732,2110633.22,14956757.11,42938,7.0755
1.59754E+12,2020-08-16,ETC/USDT,7.1717,7.3,6.91,7.2479,1999286.85,14297378,50260,7.105
1.59762E+12,2020-08-17,ETC/USDT,7.2503,7.555,7.0851,7.3884,2479037.75,18280232.19,55418,7.32005
1.59771E+12,2020-08-18,ETC/USDT,7.3905,7.7775,7.1,7.2702,2736594.59,20553241.25,54869,7.43875
1.5978E+12,2020-08-19,ETC/USDT,7.2676,7.4073,6.6002,6.798,2040423.4,14277384.71,43714,7.00375
1.59788E+12,2020-08-20,ETC/USDT,6.7977,7.0424,6.7388,6.9696,870121.42,6003687.842,23171,6.8906
1.59797E+12,2020-08-21,ETC/USDT,6.9702,7.1,6.5759,6.6324,1430073.69,9797661.552,35515,6.83795
1.59805E+12,2020-08-22,ETC/USDT,6.6338,6.7991,6.5171,6.7702,1114609.15,7425341.762,29500,6.6581
1.59814E+12,2020-08-23,ETC/USDT,6.7647,6.8263,6.6003,6.7588,860726.38,5789764.394,28698,6.7133
1.59823E+12,2020-08-24,ETC/USDT,6.7618,6.9,6.7047,6.8537,821783.76,5608009.59,25197,6.80235
1.59831E+12,2020-08-25,ETC/USDT,6.8543,6.8706,6.3545,6.4692,1890346.71,12437586.89,46699,6.61255
1.5984E+12,2020-08-26,ETC/USDT,6.469,6.5519,6.4045,6.46,1141575.68,7398385.828,30573,6.4782
1.59849E+12,2020-08-27,ETC/USDT,6.4596,6.7527,6.1944,6.3544,2355498.86,15243958.78,56736,6.47355
1.59857E+12,2020-08-28,ETC/USDT,6.356,6.6225,6.2693,6.5278,1384413.27,8981208.599,35772,6.4459
1.59866E+12,2020-08-29,ETC/USDT,6.5274,6.6486,6.4759,6.4926,979968.31,6438036.98,32066,6.56225
1.59875E+12,2020-08-30,ETC/USDT,6.4954,6.7078,6.4395,6.6907,1630448.28,10673735.69,40186,6.57365
1.59883E+12,2020-08-31,ETC/USDT,6.6896,6.7661,6.5476,6.5858,1154753.33,7695442.938,33171,6.65685
1.59892E+12,2020-09-01,ETC/USDT,6.5848,6.8072,6.5,6.7359,2439415.37,16337494.77,72240,6.6536
1.599E+12,2020-09-02,ETC/USDT,6.7365,6.8079,6.0456,6.2946,2350357.81,15148163.83,62999,6.42675
1.59909E+12,2020-09-03,ETC/USDT,6.2951,6.3571,4.5031,5.4849,3202167.51,18627046.82,74886,5.4301
1.59918E+12,2020-09-04,ETC/USDT,5.4849,5.5816,4.8499,5.3018,4726811.58,24431980.96,92632,5.21575
1.59926E+12,2020-09-05,ETC/USDT,5.3077,5.4102,4.827,5.023,2493667.07,12689059.18,57023,5.1186
1.59935E+12,2020-09-06,ETC/USDT,5.0214,5.249,4.8818,5.1492,1833116.81,9359529.991,42097,5.0654
1.59944E+12,2020-09-07,ETC/USDT,5.1507,5.188,4.842,5.0983,1430493.89,7185242.426,41600,5.015
1.59952E+12,2020-09-08,ETC/USDT,5.1001,5.2,4.9345,5.0882,1601142.05,8097886.572,47623,5.06725
1.59961E+12,2020-09-09,ETC/USDT,5.0906,5.1453,4.9633,5.0505,855975.28,4336544.707,21367,5.0543
1.5997E+12,2020-09-10,ETC/USDT,5.0465,5.2329,5.0425,5.1856,1131707.91,5815349.928,26593,5.1377
1.59978E+12,2020-09-11,ETC/USDT,5.1856,5.2355,5.0744,5.2164,1027671.19,5297967.845,23829,5.15495
1.59987E+12,2020-09-12,ETC/USDT,5.2181,5.2582,5.127,5.2316,990860.41,5139754.08,22887,5.1926
1.59996E+12,2020-09-13,ETC/USDT,5.2316,5.3896,4.9343,5.06,1141482.43,5867212.175,34901,5.16195
1.60004E+12,2020-09-14,ETC/USDT,5.0598,5.2103,4.9739,5.1494,986298.84,5033058.033,30574,5.0921
1.60013E+12,2020-09-15,ETC/USDT,5.1496,5.3158,5.1044,5.1688,1040487.88,5411422.279,31161,5.2101
1.60021E+12,2020-09-16,ETC/USDT,5.168,5.1746,5.0065,5.1179,750198,3824789.042,26065,5.09055
1.6003E+12,2020-09-17,ETC/USDT,5.1188,5.2223,5.0755,5.2043,664439.08,3414527.878,21836,5.1489
1.60039E+12,2020-09-18,ETC/USDT,5.2066,5.2155,5.048,5.1854,857566.34,4411394.953,22593,5.13175
