unix,ds,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount,Value
1.5495E+12,2019-02-07,EOS/USDT,2.3427,2.44,2.3224,2.3415,1765620.33,4156368.928,16175,2.3812
1.54958E+12,2019-02-08,EOS/USDT,2.3407,2.806,2.3248,2.7219,9123081.23,23628143.28,73771,2.5654
1.54967E+12,2019-02-09,EOS/USDT,2.7213,2.831,2.6742,2.7718,6111348.73,16810549.75,52264,2.7526
1.54976E+12,2019-02-10,EOS/USDT,2.7707,2.86,2.6484,2.8393,6446491.03,17552862.83,52122,2.7542
1.54984E+12,2019-02-11,EOS/USDT,2.8401,2.8478,2.6826,2.75,5768338.97,15916956.85,48957,2.7652
1.54993E+12,2019-02-12,EOS/USDT,2.7493,3.0171,2.7089,2.9465,7730088.3,22089859.19,65124,2.863
1.55002E+12,2019-02-13,EOS/USDT,2.9475,2.9973,2.8027,2.8564,6485268.12,18771810.54,52339,2.9
1.5501E+12,2019-02-14,EOS/USDT,2.8565,2.8894,2.7101,2.7427,4507205.73,12551823.43,36923,2.79975
1.55019E+12,2019-02-15,EOS/USDT,2.7428,2.8697,2.7391,2.7928,4622600.86,12888540.17,40190,2.8044
1.55028E+12,2019-02-16,EOS/USDT,2.7931,2.8932,2.7755,2.7873,3196504.29,9021243.42,28539,2.83435
1.55036E+12,2019-02-17,EOS/USDT,2.7859,2.9163,2.7775,2.8762,5431277.9,15407220.42,37229,2.8469
1.55045E+12,2019-02-18,EOS/USDT,2.8762,3.49,2.8601,3.4764,17539014.8,56141106.07,128341,3.17505
1.55053E+12,2019-02-19,EOS/USDT,3.4763,3.799,3.46,3.5224,21074867.08,76026462.03,148893,3.6295
1.55062E+12,2019-02-20,EOS/USDT,3.5215,3.945,3.4554,3.9076,17147702.58,64359478.99,110686,3.7002
1.55071E+12,2019-02-21,EOS/USDT,3.9095,3.9287,3.6345,3.8035,11037523.05,41654273.44,74174,3.7816
1.55079E+12,2019-02-22,EOS/USDT,3.8035,3.909,3.73,3.8411,10110935.88,38798924.85,65772,3.8195
1.55088E+12,2019-02-23,EOS/USDT,3.8459,4.3139,3.7799,4.245,8765378.72,35122300.87,65188,4.0469
1.55097E+12,2019-02-24,EOS/USDT,4.2434,4.4416,3.4,3.5289,19522125.21,74926771.35,138076,3.9208
1.55105E+12,2019-02-25,EOS/USDT,3.5327,3.713,3.2658,3.5461,15538358.94,54903732.29,105469,3.4894
1.55114E+12,2019-02-26,EOS/USDT,3.5431,3.5582,3.3001,3.4318,9333008.35,32046221.8,63636,3.42915
1.55123E+12,2019-02-27,EOS/USDT,3.4324,3.5545,3.32,3.5021,7547003.71,26032726.61,55702,3.43725
1.55131E+12,2019-02-28,EOS/USDT,3.5026,3.6439,3.436,3.4971,7021064.46,24864461.15,53739,3.53995
1.5514E+12,2019-03-01,EOS/USDT,3.4977,3.6835,3.4064,3.4673,8074950.46,28754852.57,55665,3.54495
1.55148E+12,2019-03-02,EOS/USDT,3.4668,3.5313,3.422,3.4753,5610936.02,19513294.27,44843,3.47665
1.55157E+12,2019-03-03,EOS/USDT,3.4767,3.5949,3.4742,3.5158,4412889.19,15533608.37,34239,3.53455
1.55166E+12,2019-03-04,EOS/USDT,3.5159,3.5415,3.1,3.2321,10886454.08,35671079.36,72866,3.32075
1.55174E+12,2019-03-05,EOS/USDT,3.2329,3.7988,3.202,3.7481,15869796.96,56031887.44,88919,3.5004
1.55183E+12,2019-03-06,EOS/USDT,3.7494,3.8877,3.577,3.7329,12303713.42,45625181.3,79143,3.73235
1.55192E+12,2019-03-07,EOS/USDT,3.7329,3.9,3.6841,3.7571,10071541.78,38027794.61,68944,3.79205
1.552E+12,2019-03-08,EOS/USDT,3.757,3.8,3.4835,3.5897,10750051.28,39535739.4,64211,3.64175
1.55209E+12,2019-03-09,EOS/USDT,3.5899,3.8192,3.5758,3.7544,8648421.92,32179335.93,54196,3.6975
1.55218E+12,2019-03-10,EOS/USDT,3.7544,3.7599,3.6455,3.6935,4325239.12,15999222.38,27389,3.7027
1.55226E+12,2019-03-11,EOS/USDT,3.6948,3.7284,3.491,3.5638,8446929.04,30240438.54,49526,3.6097
1.55235E+12,2019-03-12,EOS/USDT,3.5636,3.6912,3.5101,3.6416,5259530.76,19147398.05,28265,3.60065
1.55244E+12,2019-03-13,EOS/USDT,3.6434,3.652,3.4688,3.5632,5561050.11,19878475.16,37503,3.5604
1.55252E+12,2019-03-14,EOS/USDT,3.5632,3.649,3.4821,3.5786,5786220.56,20639339.4,38842,3.56555
1.55261E+12,2019-03-15,EOS/USDT,3.5786,3.7228,3.567,3.6865,6815599.64,24834340.82,47379,3.6449
1.55269E+12,2019-03-16,EOS/USDT,3.6861,3.8475,3.677,3.7991,8969648.79,33922835.47,57710,3.76225
1.55278E+12,2019-03-17,EOS/USDT,3.7974,3.803,3.7155,3.7376,3745249.4,14034279.9,26725,3.75925
1.55287E+12,2019-03-18,EOS/USDT,3.7366,3.7954,3.6761,3.7066,5746385.4,21386306.95,30547,3.73575
1.55295E+12,2019-03-19,EOS/USDT,3.706,3.7443,3.6722,3.7266,4635389.85,17203664.24,29811,3.70825
1.55304E+12,2019-03-20,EOS/USDT,3.7266,3.7377,3.531,3.71,6793232.09,24966482.02,42652,3.63435
1.55313E+12,2019-03-21,EOS/USDT,3.71,3.72,3.4912,3.6185,5755727.13,20936316.19,37467,3.6056
