unix,ds,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount,Value
1.58017E+12,2020-01-28,XLM/USDT,0.0597,0.06224,0.05906,0.06072,165415527.5,9997473.856,65726,0.06065
1.58026E+12,2020-01-29,XLM/USDT,0.06073,0.06304,0.06022,0.06083,145960270.6,8967011.773,53761,0.06163
1.58034E+12,2020-01-30,XLM/USDT,0.06084,0.06319,0.05977,0.0628,143808482.3,8812625.597,53836,0.06148
1.58043E+12,2020-01-31,XLM/USDT,0.06282,0.06298,0.05984,0.0606,115914369.7,7130451.735,45411,0.06141
1.58052E+12,2020-02-01,XLM/USDT,0.0606,0.06253,0.06042,0.06224,110536762.7,6819039.794,44615,0.061475
1.5806E+12,2020-02-02,XLM/USDT,0.06224,0.06617,0.06099,0.06345,178921671.8,11411660.05,54295,0.06358
1.58069E+12,2020-02-03,XLM/USDT,0.06345,0.066,0.06258,0.0643,130324781.4,8334006.906,42616,0.06429
1.58077E+12,2020-02-04,XLM/USDT,0.06429,0.06758,0.06168,0.06634,185032338.3,11969976.82,55793,0.06463
1.58086E+12,2020-02-05,XLM/USDT,0.06633,0.06964,0.06592,0.06908,227679997.4,15444620.79,56590,0.06778
1.58095E+12,2020-02-06,XLM/USDT,0.06907,0.07185,0.06743,0.07113,220654384.7,15424429.53,55233,0.06964
1.58103E+12,2020-02-07,XLM/USDT,0.07115,0.07366,0.07068,0.07188,189377548.1,13668517.68,54292,0.07217
1.58112E+12,2020-02-08,XLM/USDT,0.07189,0.0722,0.06758,0.0709,151925910.6,10723924.5,46253,0.06989
1.58121E+12,2020-02-09,XLM/USDT,0.07088,0.07396,0.07077,0.07327,144881970.7,10527442.08,41431,0.072365
1.58129E+12,2020-02-10,XLM/USDT,0.07328,0.07375,0.06853,0.07051,168143252,11917469.1,49118,0.07114
1.58138E+12,2020-02-11,XLM/USDT,0.07054,0.07467,0.06875,0.07404,192293852.4,13843391.81,60450,0.07171
1.58147E+12,2020-02-12,XLM/USDT,0.0741,0.0825,0.07395,0.08004,306051885.6,24118213.44,89920,0.078225
1.58155E+12,2020-02-13,XLM/USDT,0.08004,0.08769,0.07868,0.08325,366271500.5,30565607.07,117499,0.083185
1.58164E+12,2020-02-14,XLM/USDT,0.08324,0.08725,0.07989,0.08671,195386247.4,16408914.15,56548,0.08357
1.58172E+12,2020-02-15,XLM/USDT,0.0867,0.08886,0.0761,0.07892,206669309.4,17005147.16,69434,0.08248
1.58181E+12,2020-02-16,XLM/USDT,0.07902,0.08145,0.06623,0.07437,289313014.2,21507961.33,97836,0.07384
1.5819E+12,2020-02-17,XLM/USDT,0.07433,0.07517,0.06702,0.07272,265463048.2,18660958.96,86705,0.071095
1.58198E+12,2020-02-18,XLM/USDT,0.07277,0.07685,0.07,0.07603,166780787.4,12261184.53,53339,0.073425
1.58207E+12,2020-02-19,XLM/USDT,0.07601,0.07949,0.06847,0.07013,119161234.6,8880268.955,45132,0.07398
1.58216E+12,2020-02-20,XLM/USDT,0.0701,0.07166,0.0672,0.0704,158351734.8,11031683.16,47506,0.06943
1.58224E+12,2020-02-21,XLM/USDT,0.07037,0.07286,0.0695,0.07099,95895557.2,6843914.777,29561,0.07118
1.58233E+12,2020-02-22,XLM/USDT,0.07107,0.07163,0.06923,0.0703,57068576,4015823.698,19153,0.07043
1.58242E+12,2020-02-23,XLM/USDT,0.07029,0.0733,0.06983,0.07299,64504043.7,4661341.696,25512,0.071565
1.5825E+12,2020-02-24,XLM/USDT,0.07299,0.07355,0.06722,0.06911,97977179.8,6862191.167,30115,0.070385
1.58259E+12,2020-02-25,XLM/USDT,0.06908,0.0693,0.0634,0.06402,125577163.6,8295754.242,39081,0.06635
1.58268E+12,2020-02-26,XLM/USDT,0.06404,0.0647,0.05492,0.05873,260944991.2,15646041.69,65707,0.05981
1.58276E+12,2020-02-27,XLM/USDT,0.05875,0.06285,0.05586,0.06045,227381313.8,13654399.83,57459,0.059355
1.58285E+12,2020-02-28,XLM/USDT,0.06042,0.06152,0.05638,0.05841,184225212.9,10796352.16,40106,0.05895
1.58293E+12,2020-02-29,XLM/USDT,0.05841,0.05993,0.05678,0.05694,73978199.5,4316231.328,19563,0.058355
1.58302E+12,2020-03-01,XLM/USDT,0.05688,0.0587,0.05482,0.05582,86751917.7,4925949.514,22620,0.05676
1.58311E+12,2020-03-02,XLM/USDT,0.05579,0.06016,0.0556,0.05968,77305219.1,4528032.092,20950,0.05788
1.58319E+12,2020-03-03,XLM/USDT,0.05968,0.06032,0.05753,0.05816,79344061.5,4662799.834,19903,0.058925
1.58328E+12,2020-03-04,XLM/USDT,0.05818,0.05916,0.05751,0.05857,60923027.2,3556603.667,16324,0.058335
1.58337E+12,2020-03-05,XLM/USDT,0.05857,0.06096,0.05857,0.05966,87234602.9,5248952.092,26281,0.059765
1.58345E+12,2020-03-06,XLM/USDT,0.05962,0.06138,0.05914,0.06137,71418252.3,4298734.244,19349,0.06026
1.58354E+12,2020-03-07,XLM/USDT,0.06138,0.0615,0.05781,0.05828,64956600.5,3897697.241,18878,0.059655
1.58363E+12,2020-03-08,XLM/USDT,0.05827,0.05827,0.04912,0.04969,150211488,8020681.929,47083,0.053695
1.58371E+12,2020-03-09,XLM/USDT,0.04972,0.05241,0.0475,0.05235,199152947.9,9973384.185,48408,0.049955
1.5838E+12,2020-03-10,XLM/USDT,0.05236,0.05324,0.05062,0.05198,126701536.9,6574699.031,34058,0.05193
1.58388E+12,2020-03-11,XLM/USDT,0.05198,0.05263,0.04726,0.05042,124897353.1,6285263.13,32811,0.049945
1.58397E+12,2020-03-12,XLM/USDT,0.05045,0.05066,0.03011,0.03174,348706053.4,13583742.6,101391,0.040385
1.58406E+12,2020-03-13,XLM/USDT,0.03192,0.04155,0.026,0.03962,355187675.7,12364586.14,103474,0.033775
1.58414E+12,2020-03-14,XLM/USDT,0.0396,0.04041,0.0362,0.03677,91646310.6,3517910.751,25434,0.038305
1.58423E+12,2020-03-15,XLM/USDT,0.03671,0.04046,0.03615,0.03786,90989220.9,3465329.735,26449,0.038305
1.58432E+12,2020-03-16,XLM/USDT,0.03788,0.03812,0.03156,0.03534,174043199,6015045.898,48148,0.03484
1.5844E+12,2020-03-17,XLM/USDT,0.03528,0.03824,0.03487,0.03718,94019038.6,3456071.887,23908,0.036555
1.58449E+12,2020-03-18,XLM/USDT,0.03725,0.03793,0.03434,0.0369,103048582.6,3697685.558,33976,0.036135
1.58458E+12,2020-03-19,XLM/USDT,0.0369,0.04275,0.03659,0.04134,154921409.3,6107485.697,52797,0.03967
1.58466E+12,2020-03-20,XLM/USDT,0.04131,0.04446,0.0356,0.03995,193720160.8,7986615.765,59418,0.04003
1.58475E+12,2020-03-21,XLM/USDT,0.03995,0.04105,0.03798,0.03956,118439437,4675298.984,29755,0.039515
1.58484E+12,2020-03-22,XLM/USDT,0.03952,0.04058,0.03638,0.03679,112900648.5,4334743.082,27711,0.03848
1.58492E+12,2020-03-23,XLM/USDT,0.03677,0.04,0.03605,0.03938,110076061.5,4191672.88,24552,0.038025
1.58501E+12,2020-03-24,XLM/USDT,0.03938,0.04066,0.03893,0.04031,96549031.5,3838225.93,20524,0.039795
1.58509E+12,2020-03-25,XLM/USDT,0.04031,0.04098,0.03889,0.04052,83757304.6,3344852.023,18063,0.039935
1.58518E+12,2020-03-26,XLM/USDT,0.04056,0.04297,0.0398,0.04284,66676605.5,2734777.381,17943,0.041385
1.58527E+12,2020-03-27,XLM/USDT,0.04284,0.0434,0.04018,0.0404,68079790.7,2863220.847,17884,0.04179
1.58535E+12,2020-03-28,XLM/USDT,0.04039,0.04079,0.03876,0.03995,88797488.2,3510909.219,19194,0.039775
1.58544E+12,2020-03-29,XLM/USDT,0.03994,0.04014,0.03773,0.03773,56041363.4,2186361.768,13337,0.038935
1.58553E+12,2020-03-30,XLM/USDT,0.03773,0.04111,0.03766,0.04004,80258827.9,3189861.765,21159,0.039385
1.58561E+12,2020-03-31,XLM/USDT,0.04004,0.04104,0.03996,0.04071,54149689.7,2191930.745,12529,0.0405
1.5857E+12,2020-04-01,XLM/USDT,0.04071,0.04095,0.039,0.04079,58800610.9,2351641.913,15111,0.039975
1.58579E+12,2020-04-02,XLM/USDT,0.04079,0.04321,0.04042,0.04123,94937368.3,3919376.612,19652,0.041815
1.58587E+12,2020-04-03,XLM/USDT,0.04123,0.04217,0.04054,0.0414,84310971.6,3495825.605,16009,0.041355
1.58596E+12,2020-04-04,XLM/USDT,0.04138,0.04245,0.04084,0.04184,69804057.7,2888815.466,13824,0.041645
1.58604E+12,2020-04-05,XLM/USDT,0.04182,0.04355,0.04143,0.0435,68533462.9,2893883.338,17186,0.04249
1.58613E+12,2020-04-06,XLM/USDT,0.04353,0.05005,0.04347,0.04985,250602126.3,11938450.43,55547,0.04676
1.58622E+12,2020-04-07,XLM/USDT,0.04986,0.05172,0.04737,0.04845,171256162,8564332.039,43068,0.049545
1.5863E+12,2020-04-08,XLM/USDT,0.04843,0.05142,0.04812,0.05125,100400458.7,5005112.739,27978,0.04977
1.58639E+12,2020-04-09,XLM/USDT,0.05129,0.05252,0.04856,0.05198,136020371,6895622.229,32340,0.05054
1.58648E+12,2020-04-10,XLM/USDT,0.05198,0.05229,0.0454,0.0477,185411073.1,8960427.607,43164,0.048845
1.58656E+12,2020-04-11,XLM/USDT,0.0477,0.05,0.04732,0.04975,136020702.7,6661811.772,34723,0.04866
1.58665E+12,2020-04-12,XLM/USDT,0.04972,0.05141,0.04836,0.04895,140484076.1,7005039.615,36049,0.049885
1.58674E+12,2020-04-13,XLM/USDT,0.04892,0.04894,0.04592,0.04816,152600840.6,7229596.369,44768,0.04743
1.58682E+12,2020-04-14,XLM/USDT,0.04816,0.049,0.04748,0.04805,87932645.3,4247982.395,24544,0.04824
1.58691E+12,2020-04-15,XLM/USDT,0.04805,0.04869,0.04597,0.04607,70110445.3,3322351.082,17744,0.04733
1.587E+12,2020-04-16,XLM/USDT,0.04605,0.04985,0.04469,0.04913,219917752.9,10544275.67,55559,0.04727
1.58708E+12,2020-04-17,XLM/USDT,0.04917,0.04954,0.04818,0.04856,70356857.6,3436931.127,20881,0.04886
1.58717E+12,2020-04-18,XLM/USDT,0.04856,0.05104,0.04851,0.05056,84350024.4,4205545.218,23964,0.049775
1.58725E+12,2020-04-19,XLM/USDT,0.05058,0.05069,0.04823,0.0488,65142172,3220550.216,18323,0.04946
1.58734E+12,2020-04-20,XLM/USDT,0.04881,0.05337,0.04854,0.04947,277637096.9,14163782.27,75345,0.050955
1.58743E+12,2020-04-21,XLM/USDT,0.04944,0.05181,0.0492,0.05085,94460972.9,4744310.659,29454,0.050505
1.58751E+12,2020-04-22,XLM/USDT,0.05085,0.05499,0.05068,0.05498,124980977.4,6675470.356,38423,0.052835
